Card Name,Card Link,ÁTE tájékoztatás,EREN-re vihető,Veszély típusa 3.,Veszély típusa 2.,Veszély típusa,Veszély jellemzése,Keywords,2. SZŰRÉS,Tájékoztató kész,"Dokumentum, publikáció az üggyel kapcsolatban 2.",Információforrás megnevezése/affiliációja,Információ elsődleges forrása,"Dokumentum, publikáció az üggyel kapcsolatban",Intézkedés megtörtént,További intézkedések,2. SZŰRÉS Kockázatkezelési lehetőség ismert?,2. SZŰRÉS Súlyosság,2. SZŰRÉS Mérték,2. SZŰRÉS Időbeli közelség,2. SZŰRÉS Megalapozottság,2. SZŰRÉS összpontszáma,1. SZŰRÉS,2. SZŰRÉS EREDMÉNYE,1. SZŰRÉS eredménye,Előszűrés,Titkos ügykezelést igényel,Esemény típusa,Újraértékelés rendszeressége,"Dokumentum, publikáció az üggyel kapcsolatban 3.",Milyen driver hat rá?,Driver hatás,1. SZŰRÉS indoklása,Esemény (kockázat megjelenésének) dátuma,Információhoz való hozzáférés dátuma,Intézkedés leírása,Minek köszönhető a megnövekedett kitettség/érzékenység?,Signal,Értesítendő szerv,Előszűrés indoklása,HAZARDcat 1,PRODcat 1,DRIVERs 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,NÉBIH tájékoztatás,2. SZŰRÉS indoklása,Jelezni kell társintézménynek
Alarming superbug from deadly eyedrop outbreak has spread to dogs,https://trello.com/c/66559a9f90d92146807010fa,,,,Mikrobiológiai veszély,Baktérium,An extensively drug-resistant Pseudomonas aeruginosa strain inked to the 2022–2023 US artificial-tears resistance outbreak been detected in two pet dogs,#AMR #transmission route #clonal relatedness #,,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,,,,,,,,,2024-05-21 10:00:00+00:00,,,,,,1.3.2.2 Bacteria,3.7 Pets,,,,,,,,
Shocking proposals to EU Listeria regulation revealed,https://trello.com/c/66559ad7b1f8cef47da0f1e7,,,,Baktérium,Mikrobiológiai veszély,The number of cases of listeriosis in humans in the EU was 15.9% higher in 2022 than in 2021,#listeriosis #foodborn disease,,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,,Egészségügyi,,,,,,,2024-05-21 10:00:00+00:00,,,,,,1.3.2.2.15           Listeria,2 Food,,,,,,,,
Toxoplasma in salad -results from a European multi-countries survey (OHEJP project TOXOSOURCES),https://trello.com/c/667149a89ec92796020e9f98,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2024-05-23 10:00:00+00:00,,,,,,,,,,,,,,,
"HPAI in cattle, cats and humans",https://trello.com/c/667155c394608c9af42d9d55,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,1 (igen),2,2,3,3,11,,,,,,,,,,,,,2024-05-23 10:00:00+00:00,,,,,,,,,,,,,,,
Methanogenesis inhibitors,https://trello.com/c/668d1c513e5f047b1919a32f,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2024-05-23 10:00:00+00:00,,,,,,,,,,,,,,,
Lead in cinnamon,https://trello.com/c/66cd7c00d922a0e86e7fc40b,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2024-08-13 10:00:00+00:00,,,,,,,,,,,,,,,
Performance of Artificial Diets for Zelus renardii (Hemiptera: Reduviidae) Rearing,https://trello.com/c/66e94346043b70b04d38c607,,,,,Biológiai veszély,"The insect itself (e.g., mortality, development, reproduction)  Human health (if there’s exposure risk from rearing systems or residues)  Environmental or food chain safety (if LABs are used in IPM and released into ecosystems)",Zelus renardii  Leafhopper Assassin Bug (LAB)  Artificial diets  Biocontrol  Xylella fastidiosa  Olive fruit fly  Live prey,,,,EMM,Szakfolyóiratból,,,,,2,3,3,2,,,,,,,Gazdasági és egészségügyi,,,,,,,2024-09-10 10:00:00+00:00,,,,,,1.2 Chemical,1.2 Compound feeds,4.2 Industrialisation of agriculture,,,,,,,
Foodborne outbreaks caused by Yersinia spp.,https://trello.com/c/674305328ed18f73e4b12436,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2024-10-28 11:00:00+00:00,,,,,,,,,More information needed,,,,,,
EU Warns of Safety Concerns Regarding Lemon Yellow as a Feed Additive in Freshwater Fish Bait,https://trello.com/c/67580149648fac48b538b7f6,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2024-12-03 11:00:00+00:00,,,,,,,,,,,,,,,
Fatty fried food toxins as triggering stimuli to immune system interplay in global autoimmune diseases,https://trello.com/c/678f5c697cf159cb5991e957,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-01-14 11:00:00+00:00,,,,,,,,,,,,,,,
Will the EU decrease the permitted levels of mercury in tuna?,https://trello.com/c/678f5e4b1bc345bd88275a37,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-01-14 11:00:00+00:00,,,,,,,,,,,,,,,
"The European Commission has presented its ""Vision for Agriculture and Food""",https://trello.com/c/67f4d9755a0e378c07bf1c01,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-04-01 10:00:00+00:00,,,,,,,,,,,,,,,
Fact check: Are Europeans being forced to eat dangerous insects?,https://trello.com/c/67fcaa4a6ef9395041855b23,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-04-01 10:00:00+00:00,,,,,,,,,,,,,,,
EU monitors new substances in surface waters to assess their impact on health and the environment,https://trello.com/c/68074ba819a403e765353769,,,Környezeti eredetű szennyezőanyag,Növényvédő szermaradék,Kémiai veszély,"Persistence: Many (e.g., 6PPD-quinone) resist degradation → long-term accumulation.  Bioaccumulation: Lipophilic compounds (e.g., oxybenzone) magnify up food chains.",,,,,EMM,Médiából,,,,,3,4,4,3,14,,,,,,,,,,,,,2025-04-15 10:00:00+00:00,,,,,,1.2.2.2 Toxins,2.4 Beverages,8.6 Environmental pollution,,1.2.3.1 Pesticide residues,2.2.1.4 Fish and fish products,,,,
Maternal Diet Influences ADHD and Autism Risk,https://trello.com/c/68074bd180f77208bace8663,To Do,,,,,,#adhd #autism #diet #processedfood,,,,EMM,Médiából,Publikáció,,,,,,,,,,,,Kiesik 1.,,,,,,,,,2025-04-15 10:00:00+00:00,,,,,,,,,,,,,,,
Europe prepares response to US tariffs,https://trello.com/c/68074bfd653533704ce4e6b1,,,,,Növényvédő szermaradék,"EU plans to restrict imports of agricultural products grown with banned chemicals, mainly targeting U.S. goods and raising concerns over trade and consumer prices.",#EU #pesticides #regulations #tariffs #trade,,,,EMM,Médiából,,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,,,,,,2025-04-15 10:00:00+00:00,,,true,,,,,"1.1 EU, USA, China, Russia political decisions and governance",,,,2.1 Globalisation of trade in food and feed,,,
PAN Europe wants to ban deltamethrin,https://trello.com/c/68074c5ee42c17e55a131986,,,,,Növényvédő szermaradék,"PAN Europe urged the EU to ban deltamethrin, citing new evidence of its neurotoxic effects and criticizing its overdue regulatory review.",#pesticides #delatmethrin #neurotoxicity #ban #EU,,,,EMM,Médiából,,,,,,,,,,,,,,Nem igényel,Egészségügyi,,,,,,,2025-04-15 10:00:00+00:00,,,,,,1.2.3.1 Pesticide residues,,,,1.2.3.2 Residues of veterinary medicinal products,,,,,
"Salmonella outbreak linked to alfalfa is ‘widespread,’ EU health and food safety authorities warn",https://trello.com/c/68074c7fa525d1b271a6f3c7,,,,Biológiai veszély,Baktérium,,#salmonella#sprouted#alfalfa#lucerne#zoonosis#outbreak,,,,EMM,Médiából,Publikáció,,,,,,,,,,,,,,,,,,,,,2025-04-15 10:00:00+00:00,,,,,,1.3.2.2.17 Salmonella,2.1.10 Other food of plant origin,2.1 Globalisation of trade in food and feed,,,,7.2 Diversification and polarisation of diets and lifestyles,,,
Are the agri-food sector's efforts to reduce cow gas emissions just hot air?,https://trello.com/c/68074caca7c4fc8917988bf5,,,,,Adalékanyag,"Food companies like Nestlé are using methane-reducing cow feed additives to meet climate goals, but consumer health concerns and questions about long-term effectiveness persist.",#gasemission#cows#additives#boaver,,,,EMM,Médiából,,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,,,,,,2025-04-15 10:00:00+00:00,,,,,,1.2.8 Feed additives,,8.6 Environmental pollution,,,,7.6 Scepticism of consumers towards new food and food-related technologies,,,
"Vegetarian diet: benefits for your health, but beware of deficiencies",https://trello.com/c/683561c91ce775803f17f2ab,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-04-22 10:00:00+00:00,,,,,,,,,,,,,,,
"'Xylella', the bacterium that kills olive trees, arrives in the Sierra de Gata",https://trello.com/c/68356a3e93f68bd81e202135,,,,,Baktérium,"Trade of Infected Plants:  Nursery stock (e.g., coffee, polygala) imported from endemic regions (Americas, Asia).  EU Example: 2013 Puglia outbreak linked to Costa Rican ornamental plants.  Natural Spread:  Insect vectors transmit Xylella to wild/agricultural plants (up to 1.5 km/year).  Human Activities:  Pruning tools, agricultural machinery, and grafting spread the bacterium.",@Xylella fastidiosa@Plant-pathogenic bacteria@Olive trees @Almonds@Grapevines @Citrus crops,,,,EMM,Médiából,,,,,3,2,4,4,13,,,,,,Gazdasági,,,,,,,2025-04-22 10:00:00+00:00,,,,,,1.3.2.2 Bacteria,2.1.11 Other plants,2.1 Globalization of trade in food and feed,,,,,,,
Foot-and-mouth disease,https://trello.com/c/68356acdc5b3b7a150db9c70,,,,,Vírus,"Romanian farmer federations demand a full ban on animal product imports from FMD-affected neighbors, citing biosecurity failures and economic risk, while authorities maintain partial restrictions and disinfection measures pending EU clearance.",#FMD #Biosecurity #Regulation #Economy #Litigation,,,Médiamegjelenés,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,Médiamegjelenés,,,,,2025-04-22 10:00:00+00:00,,,,,,1.3.2.1 Viruses,,7.5 Increasing concern about risks related to food safety and food chain inputs,,,,2.1 Globalisation of trade in food and feed,,,
"Farmers need these sprays. ""It makes things worse""",https://trello.com/c/68356ba22c3ba87d1a6c13b1,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-04-29 10:00:00+00:00,,,,,,,,,,,,,,,
"Ministry: Ethanol is a carcinogen, attitude towards alcohol must be reassessed",https://trello.com/c/68356c22a8d9be759d14c4f6,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-04-29 10:00:00+00:00,,,,,,,,,,,,,,,
Pesticides related to Parkinson's disease,https://trello.com/c/66559a824ed34814474496c8,,,,,Növényvédő szermaradék,szermaradvány termékekben,#pesticide #parkinsons #applejuice,,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,,,,,,11 pont <,,2024-05-21 10:00:00+00:00,,,,,,,,,,,,,,,
Streptococcus suis: A potentially underreported emerging zoonotic pathogen,https://trello.com/c/683ebeaa13f5c100f2c9ca17,,Kész (már volt EREN-en),,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Antiparasitic drug resistance,https://trello.com/c/6851377878b33ef0b661e745,,,Kémiai veszély,Parazita,Biológiai veszély,"Antiparasitic drug resistance in soil-transmitted helminths is a rapidly intensifying global threat that undermines livestock health, reduces treatment efficacy, and increases zoonotic transmission risks, demanding urgent development of sustainable control measures.",#soil-transmittedhelminths#STHs#antiparasiticdrugresistance#ruminants#multidrugresistance#parasitemanagement#zoonotictrasmissionrisk,,,Előadás,EREN,Más külföldi intézménytől/szervezettől,Publikáció,,,,,,,,,,,,,,Egészségügyi,,,,,,,2025-05-12 10:00:00+00:00,,,,,,1.3.3 Parasites,2.2 Food of animal origin,"5.4 Increase in productivity from other primary production technologies (e.g. management practices, aquaculture)",,,,8. Climate change,,,
Emerging Risks in Bio-Based Food Packaging - Gyűjtőkártya lesz,https://trello.com/c/68513863abc4f2d60f8dc963,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Illicit use of Cafodos as a fish preservative,https://trello.com/c/68513932a4129553ece814e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Popillia japonica: the 2025 action plan to contain its spread is underway,https://trello.com/c/6863da415aae5bc073dbe695,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-07-01 10:00:00+00:00,,,,,,,,,,,,,,,
How will the EU prevent the import of foods treated with banned pesticides?,https://trello.com/c/6863dae3d626183fb42d0d42,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-07-02 10:00:00+00:00,,,,,,,,,,,,,,,
New EC requirements might affect sprat production: Agriculture Minister,https://trello.com/c/6863db04e4f1912e4ba6ee93,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-07-02 10:00:00+00:00,,,,,,,,,,,,,,,
Haribo recalls popular sweets after family falls ill from cannabis-laced candy,https://trello.com/c/6863db4ee042d9f8319057c9,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-07-02 10:00:00+00:00,,,,,,,,,,,,,,,
Milk analogue made from fish (fish milk),https://trello.com/c/68765c1fb60553e6b45e8511,,Kész (már volt EREN-en),,,,,,,,,EREN STADG-Er,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Baby herbal tea: Estragole as a problem,https://trello.com/c/68765cec7dd2be3a1047c15b,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Werewolf Syndrome in dogs linked to Contaminated Chews from China,https://trello.com/c/68765d20c9148cbfa71d060c,,,,,Kémiai veszély,"Acute health effects on dogs:  Panic attacks, unjustified aggression.  Muscle twitching, epileptic-like seizures.  In severe cases, fatal outcome.  Effects on other animals/humans:  No immediate danger, but the source of contamination poses an environmental risk.",@WerewolfSyndrome @ContaminatedChews @ChinaImports @FoodStandardsUK @PetFoodSafety @DogHealthAlert @ToxicTreats @EUFoodRegulations @VetWarning @SupplyChainRisk @FSA_Alert,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,3,2,3,3,11,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,1.2 Chemical,1.2.2 Pet food,2.1 Globalization of trade in food and feed,,,,,,,
Ants smuggling,https://trello.com/c/68765d4e046dc02b71a8b63a,,,,,Biológiai veszély,"Likelihood: High probability of establishment due to:  Thriving global black market (particularly via online platforms)  Small size and ease of transport enabling undetected smuggling  Growing popularity of ant-keeping as a hobby  Severity: Potentially severe consequences including:  Ecosystem disruption through invasive species competition  Agricultural damage (estimated € millions in potential crop losses)  Biodiversity reduction in affected regions  Possible introduction of novel pathogens  Vulnerabilities:  Current regulatory gaps in invertebrate trade controls  Limited public awareness of ecological risks  Inadequate border screening for small organisms  Risk Level: Moderate to high, with the potential for exponential increase if trade continues unchecked. The risk is particularly acute for tropical species being introduced to temperate climates where natural predators may be absent.",#AntSmuggling #InvasiveSpecies #WildlifeTrade #BiodiversityRisk,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,3,2,3,3,11,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,1.3 Biological,3 Live animals,2. Global trade,,,,,,,
Cottony Scale Spreads in Europe,https://trello.com/c/68765d7a77917311a842d32d,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Scientists say Fukushima water discharge risk is ‘underestimated’,https://trello.com/c/68765db168fb43db1e873123,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-05-12 10:00:00+00:00,,,,,,,,,,,,,,,
Food and Beverage Air Filtration Guide by Camfil Canada Exposes Risks of Poor Indoor Air Quality,https://trello.com/c/68bfcb2abf82a538f487ceba,,,Egyéb veszély,Gomba,Baktérium,"Camfil Canada warns that inadequate air filtration in food processing endangers food safety and worker health, urging adoption of high-efficiency filters amid weak national air quality standards.",#AirQuality #Filtration #FoodSafety #Contamination #Regulation,,,Médiamegjelenés,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,Nem igényel,Egészségügyi,,Médiamegjelenés,,,,,2025-07-29 10:00:00+00:00,,,,,,1.3.2.2 Bacteria,,7.5 Increasing concern about risks related to food safety and food chain inputs,,1.3.2.3 Fungi,,,,,
Fish Sludge as Feed in Circular Bioproduction,https://trello.com/c/68bfcbe4455186330e80c8be,,,Mikrobiológiai veszély,Kémiai veszély,Technológiai eredetű szennyezőanyag,The review finds fish sludge could support sustainable invertebrate feed production but remains banned in the EU due to chemical safety concerns and limited data.,#FishSludge #Invertebrates #Feed #Contaminants #Regulation,,,Médiamegjelenés,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,Médiamegjelenés,,,,,2025-08-05 10:00:00+00:00,,,,,,1.2.8 Feed additives,,8.3 Changing agricultural productivity according to species and regions,,1.2.1 Environmental contaminants,,7.5 Increasing concern about risks related to food safety and food chain inputs,,,
Swiss study revealed significant pesticide exposure in children aged 6-13,https://trello.com/c/68bfccbceebb1812be8b3193,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-08-12 10:00:00+00:00,,,,,,,,,,,,,,,
Lumpy Skin Disease spreading in France and Italy,https://trello.com/c/68bfcd1f33950857f48e3736,,,,,Vírus,"Lumpy Skin Disease has re-emerged in Europe, spreading from Italy to France and threatening cattle herds and farm economies despite strict EU surveillance and vaccination bans.",#LumpySkinDisease #Cattle #Outbreak #Biosecurity #Economy,,,Médiamegjelenés,EMM,Médiából,,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,Médiamegjelenés,,,,,2025-08-12 10:00:00+00:00,,,,,,1.3.2.1 Viruses,,4.1 Food systems structure,,,,,,,
"Bluetongue Disease Detected in Kyustendil Region, Animals To Be Treated",https://trello.com/c/68dac129f1a5c889d2ebaae0,,,,,Vírus,"Bulgaria reported its first bluetongue serotype 8 outbreak in sheep near the Serbian border, prompting movement restrictions and surveillance but no culling, amid similar regional cases.",#Bluetongue #Ruminants #Outbreak #Surveillance #Economy,,,Médiamegjelenés,EMM,Médiából,,,,,,,,,,,,,,Nem igényel,Gazdasági és egészségügyi,,Médiamegjelenés,,,,,2025-09-16 10:00:00+00:00,,,,,,1.3.2.1 Viruses,,4.1 Food systems structure,,,,,,,
EU to call for full lifecycle plastics in crucial talks to limit them,https://trello.com/c/68dac15c088beea96190db6d,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-16 10:00:00+00:00,,,true,,,,,,,,,,,,
Armored seeds and biodiversity,https://trello.com/c/68dac18fe54cf3f7633ec68d,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-16 10:00:00+00:00,,,,,,,,,,,,,,,
They manage to modify the tobacco plant so that it does not have nicotine,https://trello.com/c/68dac1bd518ac2db06ea71b5,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-16 10:00:00+00:00,,,,,,,,,,,,,,,
Found in Austria – this insect is really dangerous,https://trello.com/c/68dac1f932807203bab5660f,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-16 10:00:00+00:00,,,,,,,,,,,,,,,
Hidden hunger,https://trello.com/c/68dac22eb220d1e20fa33c77,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-23 10:00:00+00:00,,,,,,,,,,,,,,,
"Pollution, overuse and climate change threaten Europe's water resilience.",https://trello.com/c/68dac266876d4d3d38d4f5b8,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-23 10:00:00+00:00,,,,,,,,,,,,,,,
